CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                          PORTS                                                                                          NAMES
5cce5246c294   zabbix/zabbix-agent2:alpine-7.0-latest                  "/usr/bin/docker-entтАж"   21 hours ago   Up 35 minutes                   0.0.0.0:10050->10050/tcp, [::]:10050->10050/tcp                                                zabbix_agent
55e68e79964d   postgres:16-alpine                                      "docker-entrypoint.sтАж"   45 hours ago   Up 35 minutes (healthy)         5432/tcp                                                                                       proctolearn_postgres_monitoring
a4749a71cd05   proctolearn-api                                         "docker-entrypoint.sтАж"   6 days ago     Up 35 minutes                   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                                                    proctolearn_api_dev
67a5545714ff   grafana/grafana-oss:11.1.4                              "/run.sh"                6 days ago     Up 35 minutes                   0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                    proctolearn_grafana
b07be0ed991e   prom/prometheus:v2.54.1                                 "/bin/prometheus --cтАж"   6 days ago     Up 35 minutes                   0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp                                                    proctolearn_prometheus
e8df4e2f67ef   nginx/nginx-prometheus-exporter:0.11.0                  "/usr/bin/nginx-promтАж"   6 days ago     Up 35 minutes                   0.0.0.0:9113->9113/tcp, [::]:9113->9113/tcp                                                    proctolearn_nginx_exporter
6fa4a900a286   prometheuscommunity/postgres-exporter:v0.15.0           "/bin/postgres_exporтАж"   6 days ago     Up 35 minutes                   0.0.0.0:9187->9187/tcp, [::]:9187->9187/tcp                                                    proctolearn_postgres_exporter
858f8079f3bc   nginx:1.27-alpine                                       "/docker-entrypoint.тАж"   6 days ago     Up 35 minutes                   0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp               proctolearn_nginx
98bc55b5b7ba   prom/alertmanager:latest                                "/bin/alertmanager -тАж"   6 days ago     Up 35 minutes                   0.0.0.0:9093->9093/tcp, [::]:9093->9093/tcp                                                    proctolearn_alertmanager
45ae0873be26   prom/node-exporter:v1.8.2                               "/bin/node_exporter тАж"   6 days ago     Up 35 minutes                   0.0.0.0:9100->9100/tcp, [::]:9100->9100/tcp                                                    proctolearn_node_exporter
d5a58189d9a4   proctolearn-web                                         "docker-entrypoint.sтАж"   6 days ago     Up 35 minutes                   0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp                                                    proctolearn_web_dev
a46bcbbdf2e2   dpage/pgadmin4:latest                                   "/entrypoint.sh"         6 days ago     Up 35 minutes                   0.0.0.0:5050->80/tcp, [::]:5050->80/tcp                                                        proctolearn_pgadmin
7eab1fcdac4e   n8nio/n8n:latest                                        "tini -- /docker-entтАж"   6 days ago     Up 35 minutes                   0.0.0.0:5678->5678/tcp, [::]:5678->5678/tcp                                                    proctolearn_n8n
f863a4d0b1dd   postgres:16-alpine                                      "docker-entrypoint.sтАж"   6 days ago     Up 35 minutes (healthy)         0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                    proctolearn_postgres
6c11c7743d4f   redis:7-alpine                                          "docker-entrypoint.sтАж"   6 days ago     Up 35 minutes (healthy)         0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                    proctolearn_redis
770749b246e4   axllent/mailpit:latest                                  "/mailpit"               6 days ago     Up 35 minutes (healthy)         0.0.0.0:1025->1025/tcp, [::]:1025->1025/tcp, 0.0.0.0:8025->8025/tcp, [::]:8025->8025/tcp       proctolearn_mailpit
fdd5b7c85bd0   minio/minio:latest                                      "/usr/bin/docker-entтАж"   6 days ago     Up 35 minutes (healthy)         0.0.0.0:9000->9000/tcp, [::]:9000->9000/tcp, 9001/tcp                                          proctolearn_minio
d4637d038d4e   proctolearn-jenkins                                     "/usr/bin/tini -- /uтАж"   6 days ago     Up 35 minutes                   0.0.0.0:50000->50000/tcp, [::]:50000->50000/tcp, 0.0.0.0:8088->8080/tcp, [::]:8088->8080/tcp   proctolearn_jenkins
7b17d6c1e519   openpolicyagent/opa:0.68.0                              "/opa run --server -тАж"   6 days ago     Up 35 minutes                   0.0.0.0:8181->8181/tcp, [::]:8181->8181/tcp                                                    proctolearn_opa
fe6201032291   zabbix/zabbix-web-nginx-pgsql:alpine-7.0-latest         "docker-entrypoint.sh"   3 weeks ago    Up 35 minutes (healthy)         0.0.0.0:8082->8080/tcp, [::]:8082->8080/tcp                                                    zabbix_web
0ed03e724286   zabbix/zabbix-server-pgsql:alpine-7.0-latest            "/usr/bin/docker-entтАж"   3 weeks ago    Up 35 minutes                   0.0.0.0:10051->10051/tcp, [::]:10051->10051/tcp                                                zabbix_server
7b43257ddfe6   quay.io/prometheuscommunity/postgres-exporter:v0.15.0   "/bin/postgres_exporтАж"   3 weeks ago    Up 35 minutes                   9187/tcp                                                                                       postgres_exporter
7bc89b1c42ca   prom/alertmanager:latest                                "/bin/alertmanager -тАж"   3 weeks ago    Restarting (1) 21 seconds ago                                                                                                  alertmanager
d4d1bc979eba   nginx:latest                                            "/docker-entrypoint.тАж"   3 weeks ago    Up 35 minutes                   80/tcp, 8080/tcp                                                                               monitoring_nginx
151cfa246210   postgres:16-alpine                                      "docker-entrypoint.sтАж"   3 weeks ago    Up 35 minutes                   5432/tcp                                                                                       zabbix_pgsql
8eb805bea69b   prom/node-exporter:v1.8.2                               "/bin/node_exporter"     4 weeks ago    Up 35 minutes                   9100/tcp                                                                                       node_exporter
